Risk_ID,Category,Risk_Description,Affected_Feature_or_Requirement,Severity,Likelihood,Mitigation_Action,Owner,GitHub_Evidence,Status
R-01,Privacy,Landlord contact information could be exposed to anonymous visitors or collected for spam.,"Apartment detail and contact flow / FR-07, FR-15",High,Medium,Hide contact from anonymous users; show it only to authenticated students; use a property/business contact method.,Phyo Wai Aung / Kyaw Linn,Data Inventory; Privacy and Consent; Basic Security issues,In Progress
R-02,Privacy,Exact coordinates or addresses could reveal a private home rather than only the advertised property.,"Map and apartment location / FR-03, FR-07, FR-15",High,Medium,Use verified property locations only; remove owner home addresses; consider approximate preview markers.,Phyo Wai Aung / Kyaw Linn,Data Inventory; Privacy and Consent; Basic Security issues,Open
R-03,Privacy / Security,"Users may share passwords, OTPs, banking details, government IDs, or confidential information in messages.","Student-landlord and roommate messages / FR-02, FR-15",High,Medium,"Display safety warnings; restrict messages to participants; prohibit sensitive information; add reporting, moderation, and rate limiting.",Phyo Wai Aung / Kyaw Linn,Legal and Ethical; Basic Security issues,In Progress
R-04,Ethical,"A roommate post or message could contain discriminatory, harassing, or harmful requirements.","Roommate board and messages / FR-05, FR-15",High,Medium,Allow neutral voluntary preferences only; publish content rules; provide reporting and admin moderation.,Phyo Wai Aung / Kyaw Linn,Legal and Ethical; Basic Security issues,Open
R-05,Privacy / IP,"Public listing photos could contain faces, identity documents, license plates, private backgrounds, or copied images.","Listing upload and gallery / FR-03, FR-07, FR-15",High,Medium,Require permission; accept property/room images only; review before approval; support deletion and replacement.,Phyo Wai Aung / Kyaw Linn,Privacy and Consent; IP Assets; Basic Security issues,Open
R-06,IP,The source and permission for landing-student-room.webp are not documented.,"Homepage visual / FR-01, FR-13",High,High,Identify creator and license; replace with a team-created or verified open-license image if proof is unavailable.,Phyo Wai Aung,IP and Third-Party Assets issue,Open
R-07,IP / Trademark,public/icons.svg contains branded symbols with undocumented sources and appears unused.,Frontend public assets / FR-13,Medium,Medium,"Remove the unused file or identify each source, license, permission, and brand guideline.",Phyo Wai Aung / Kyaw Linn,IP and Third-Party Assets issue,Open
R-08,Data Quality / Ethical,"Fake, outdated, duplicate, misleading, or unavailable apartment listings could harm users.","Listing submission, status, and moderation / FR-03, FR-08, FR-09",High,Medium,Require admin approval; allow owner status updates; remove invalid listings; avoid unsupported verification claims.,Phyo Wai Aung / Kyaw Linn,Legal and Ethical; Basic Security issues,In Progress
R-09,Privacy,"Test results, screenshots, or feedback in the public repository could reveal participant identities.","Validation evidence and GitHub documentation / FR-15, FR-16",High,Low,Use participant codes; redact identifiers; review screenshots; publish aggregated or anonymized results.,Phyo Wai Aung / Arkar Kyaw Oo,Data Inventory; Privacy and Consent; README/Logbook issues,In Progress
R-10,Security,"Authentication, messaging, search, and upload endpoints have no documented application-level rate limit.","Accounts, messages, search, uploads / FR-10, FR-15",High,Medium,"Add rate limiting before public production use, with stricter limits for sign-in, messages, and uploads.",Kyaw Linn,Basic Security; Requirement Updates issues,Open
R-11,Security,Internal database or service-provider error details could be returned to users.,"Backend API error handling / FR-10, FR-15",Medium,Medium,Return generic client messages and keep technical details in protected server logs.,Kyaw Linn,Basic Security; Requirement Updates issues,Open
R-12,Legal / Service Terms,"Google Maps and Supabase use is governed by external terms, privacy policies, attribution, and API-key requirements.","Maps, authentication, database, storage / FR-04, FR-07, FR-15",Medium,Low,Preserve attribution; restrict keys; link privacy information; review service terms before public launch.,Phyo Wai Aung / Kyaw Linn,IP Assets; Basic Security issues,In Progress
